Partlist

Exported from K019.brd at 19.8.2013 20:03:14

EAGLE Version 6.3.0 Copyright (c) 1988-2012 CadSoft

Assembly variant: 

Part     Value          Package  Library  Position (mil)        Orientation

U69      TD62783F       DIL18    RIZENI   (6550 5650)           R180
U70      TD62783F       DIL18    RIZENI   (5950 6650)           R180
U71      74HC574        DIL20    CENTRALA (15400 6050)          R180
U72      74HC574        DIL20    CENTRALA (14800 7050)          R180
U73      74HC574        DIL20    CENTRALA (14150 6050)          R180
U74      74HC574        DIL20    CENTRALA (13550 7050)          R180
U75      74HC574        DIL20    CENTRALA (12900 6050)          R180
U76      74HC574        DIL20    CENTRALA (12300 7050)          R180
U77      74HC574        DIL20    CENTRALA (11650 6050)          R180
U78      74HC574        DIL20    CENTRALA (11050 7050)          R180
U79      74HC138        DIL16    CENTRALA (13350 7800)          R180
U80      TD62783F       DIL18    RIZENI   (15300 5650)          R180
U81      TD62783F       DIL18    RIZENI   (14700 6650)          R180
U82      TD62783F       DIL18    RIZENI   (14050 5650)          R180
U83      TD62783F       DIL18    RIZENI   (13450 6650)          R180
U84      TD62783F       DIL18    RIZENI   (12800 5650)          R180
U85      TD62783F       DIL18    RIZENI   (12200 6650)          R180
U86      TD62783F       DIL18    RIZENI   (11550 5650)          R180
U87      TD62783F       DIL18    RIZENI   (10950 6650)          R180
U88      74HC574        DIL20    CENTRALA (5400 2050)           R180
U89      74HC574        DIL20    CENTRALA (4800 3050)           R180
U90      74HC574        DIL20    CENTRALA (4150 2050)           R180
U91      74HC574        DIL20    CENTRALA (3550 3050)           R180
U92      74HC574        DIL20    CENTRALA (2900 2050)           R180
U93      74HC574        DIL20    CENTRALA (2300 3050)           R180
U94      74HC574        DIL20    CENTRALA (1650 2050)           R180
U95      74HC574        DIL20    CENTRALA (1050 3050)           R180
U96      74HC138        DIL16    CENTRALA (3350 3800)           R180
U97      TD62783F       DIL18    kac      (5300 1650)           R180
U98      TD62783F       DIL18    kac      (4700 2650)           R180
U99      TD62783F       DIL18    kac      (4050 1650)           R180
U100     TD62783F       DIL18    kac      (3450 2650)           R180
U101     TD62783F       DIL18    kac      (2800 1650)           R180
U102     TD62783F       DIL18    kac      (2200 2650)           R180
U103     TD62783F       DIL18    kac      (1550 1650)           R180
U104     TD62783F       DIL18    kac      (950 2650)            R180
U105     74HC574        DIL20    CENTRALA (10400 2050)          R180
U106     74HC574        DIL20    CENTRALA (9800 3050)           R180
U107     74HC574        DIL20    CENTRALA (9150 2050)           R180
U108     74HC574        DIL20    CENTRALA (8550 3050)           R180
U109     74HC574        DIL20    CENTRALA (7900 2050)           R180
U110     74HC574        DIL20    CENTRALA (7300 3050)           R180
U111     74HC574        DIL20    CENTRALA (6650 2050)           R180
U112     74HC574        DIL20    CENTRALA (6050 3050)           R180
U113     74HC138        DIL16    CENTRALA (8350 3800)           R180
U114     TD62783F       DIL18    RIZENI   (10300 1650)          R180
U115     TD62783F       DIL18    RIZENI   (9700 2650)           R180
U116     TD62783F       DIL18    RIZENI   (9050 1650)           R180
U117     TD62783F       DIL18    RIZENI   (8450 2650)           R180
U118     TD62783F       DIL18    RIZENI   (7800 1650)           R180
U119     TD62783F       DIL18    RIZENI   (7200 2650)           R180
U120     TD62783F       DIL18    RIZENI   (6550 1650)           R180
U121     TD62783F       DIL18    RIZENI   (5950 2650)           R180
U122     74HC574        DIL20    CENTRALA (15400 2050)          R180
U123     74HC574        DIL20    CENTRALA (14800 3050)          R180
U124     74HC574        DIL20    CENTRALA (14150 2050)          R180
U125     74HC574        DIL20    CENTRALA (13550 3050)          R180
U126     74HC574        DIL20    CENTRALA (12900 2050)          R180
U127     74HC574        DIL20    CENTRALA (12300 3050)          R180
U128     74HC574        DIL20    CENTRALA (11650 2050)          R180
U129     74HC574        DIL20    CENTRALA (11050 3050)          R180
U130     74HC138        DIL16    CENTRALA (13350 3800)          R180
U131     TD62783F       DIL18    RIZENI   (15300 1650)          R180
U132     TD62783F       DIL18    RIZENI   (14700 2650)          R180
U133     TD62783F       DIL18    RIZENI   (14050 1650)          R180
U134     TD62783F       DIL18    RIZENI   (13450 2650)          R180
U135     TD62783F       DIL18    RIZENI   (12800 1650)          R180
U136     TD62783F       DIL18    RIZENI   (12200 2650)          R180
U137     TD62783F       DIL18    RIZENI   (11550 1650)          R180
U138     TD62783F       DIL18    RIZENI   (10950 2650)          R180
U139     74HC574        DIL20    CENTRALA (17900 2050)          R180
U140     74HC574        DIL20    CENTRALA (17300 3050)          R180
U141     74HC574        DIL20    CENTRALA (16650 2050)          R180
U142     74HC574        DIL20    CENTRALA (16050 3050)          R180
U143     74HC574        DIL20    CENTRALA (20400 2050)          R180
U144     74HC574        DIL20    CENTRALA (19800 3050)          R180
U145     74HC574        DIL20    CENTRALA (19150 2050)          R180
U146     74HC574        DIL20    CENTRALA (18550 3050)          R180
U147     74HC138        DIL16    CENTRALA (18350 3800)          R180
U148     TD62783F       DIL18    RIZENI   (17800 1650)          R180
U149     TD62783F       DIL18    RIZENI   (17200 2650)          R180
U150     TD62783F       DIL18    RIZENI   (16550 1650)          R180
U151     TD62783F       DIL18    RIZENI   (15950 2650)          R180
U152     TD62783F       DIL18    RIZENI   (20300 1650)          R180
U153     TD62783F       DIL18    RIZENI   (19700 2650)          R180
U154     TD62783F       DIL18    RIZENI   (19050 1650)          R180
U155     TD62783F       DIL18    RIZENI   (18450 2650)          R180
U156     MEGA162        DIL40    kac      (17550 5650)          R180
U157     74HC138        DIL16    kac      (17100 7050)          R180
U158     74HC138        DIL16    kac      (17100 7800)          R180
U159     SP485          DIL-08   RIZENI   (19300 5750)          R270
U160     24C64          DIL-08   RIZENI   (18350 7050)          R180
U161     MAX232         DIL16    kac      (19650 6900)          R270
